V1	V2
CD79B	IGKV1-12
CD79B	IGHV4-59
CD79B	IGHV4-39
CD79B	IGHV4-34
CD79B	IGHV3-9
CD79B	IGHV3-7
CD79B	IGHV3-53
CD79B	IGHV3-48
CD79B	IGHV3-33
CD79B	IGHV3-30
CD79B	IGHV3-23
CD79B	IGHV3-13
CD79B	IGHV3-11
CD79B	IGHV2-70
CD79B	IGHV2-5
CD79B	IGHV1-69
CD79B	IGHV1-46
CD79B	IGHV1-2
CD79B	IGKV2D-40
CD79B	BLNK
CD79B	IGKC
CD79B	IGHM
CD79B	SYK
TLE1	ATF2
TUBB1	EEF1A1
PFN1	ATF2
PFN1	TLE1
PFN1	CRMP1
HNRNPH3	CRMP1
TRPC7	PLCB1
TRPC7	PLCH1
PLCE1	TRPC7
PLCB2	TRPC7
PLCD3	TRPC7
ITPR2	PLCB1
ITPR2	PLCH1
ITPR2	PLCE1
ITPR2	PLCB2
ITPR2	PLCD3
TRPC3	PLCB1
TRPC3	PLCH1
TRPC3	TRPC7
TRPC3	PLCE1
TRPC3	PLCB2
TRPC3	PLCD3
PLCH2	TRPC7
PLCH2	ITPR2
PLCH2	TRPC3
TRPC6	PLCB1
TRPC6	PLCH1
TRPC6	PLCE1
TRPC6	PLCB2
TRPC6	PLCD3
TRPC6	PLCH2
RASGRP2	PLCB1
RASGRP2	PLCH1
RASGRP2	TRPC7
RASGRP2	PLCE1
RASGRP2	PLCB2
RASGRP2	PLCD3
RASGRP2	ITPR2
RASGRP2	TRPC3
RASGRP2	PLCH2
RASGRP2	TRPC6
PRKCB	PLCB1
PRKCB	PLCH1
PRKCB	TRPC7
PRKCB	PLCE1
PRKCB	PLCB2
PRKCB	PLCD3
PRKCB	ITPR2
PRKCB	TRPC3
PRKCB	PLCH2
PRKCB	TRPC6
ITPR1	PLCB1
ITPR1	PLCH1
ITPR1	PLCE1
ITPR1	PLCB2
ITPR1	PLCD3
ITPR1	PLCH2
ITPR1	RASGRP2
ITPR1	PRKCB
PRKCA	PLCB1
PRKCA	PLCH1
PRKCA	TRPC7
PRKCA	PLCE1
PRKCA	PLCB2
PRKCA	PLCD3
PRKCA	ITPR2
PRKCA	PLCH2
PRKCA	TRPC6
PRKCA	ITPR1
PLCB4	TRPC7
PLCB4	ITPR2
PLCB4	TRPC3
PLCB4	TRPC6
PLCB4	RASGRP2
PLCB4	PRKCB
PLCB4	ITPR1
PLCB4	PRKCA
ITPR3	PLCB1
ITPR3	PLCH1
ITPR3	PLCE1
ITPR3	PLCB2
ITPR3	PLCD3
ITPR3	TRPC3
ITPR3	PLCH2
ITPR3	TRPC6
ITPR3	RASGRP2
ITPR3	PRKCB
ITPR3	PRKCA
ITPR3	PLCB4
RASGRP1	PLCB1
RASGRP1	PLCH1
RASGRP1	TRPC7
RASGRP1	PLCE1
RASGRP1	PLCB2
RASGRP1	PLCD3
RASGRP1	ITPR2
RASGRP1	TRPC3
RASGRP1	PLCH2
RASGRP1	TRPC6
RASGRP1	ITPR1
RASGRP1	PLCB4
RASGRP1	ITPR3
PRKCD	PLCB1
PRKCD	PLCH1
PRKCD	TRPC7
PRKCD	PLCE1
PRKCD	PLCB2
PRKCD	PLCD3
PRKCD	ITPR2
PRKCD	TRPC3
PRKCD	PLCH2
PRKCD	TRPC6
PRKCD	PRKCB
PRKCD	ITPR1
PRKCD	PLCB4
PRKCD	ITPR3
CALM1	PLCB1
CALM1	PLCH1
CALM1	TRPC7
CALM1	PLCE1
CALM1	PLCB2
CALM1	PLCD3
CALM1	ITPR2
CALM1	TRPC3
CALM1	PLCH2
CALM1	TRPC6
CALM1	RASGRP2
